		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.472656	M = 250	N = 8	m = 9	n = 2000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111010100    0    0    0    0    0    0    1    0  3.901802 0.865873 SUCCESS 127
111010110    1    1    1    1    1    1    1    0  4.596881 0.799664 SUCCESS 128
111011000    0    1    0    0    0    1    0    0  4.017648 0.855528 SUCCESS 129
111011010    0    0    0    0    1    0    1    0  4.017648 0.855528 SUCCESS 130
111011100    0    1    0    1    0    1    1    1  4.365188 0.822764 SUCCESS 131
111100000    0    0    0    1    0    0    0    1  4.017648 0.855528 SUCCESS 132
111100010    0    0    1    1    0    1    0    0  4.133495 0.844883 SUCCESS 133
111100100    0    0    1    0    1    0    0    1  4.133495 0.844883 SUCCESS 134
111100110    0    1    1    1    0    1    0    0  4.249341 0.833955 SUCCESS 135
111101000    3    0    2    1    0    1    0    1 21.659410 0.005587 FAILURE 136
111101010    0    0    0    0    0    0    1    0  3.901802 0.865873 SUCCESS 137
111101100    1    1    0    0    1    0    0    0  4.133495 0.844883 SUCCESS 138
111101110    0    0    0    0    1    0    1    1  4.133495 0.844883 SUCCESS 139
111110000    1    0    0    1    0    0    0    1  4.133495 0.844883 SUCCESS 140
111110010    0    0    1    0    1    0    1    0  4.133495 0.844883 SUCCESS 141
111110100    2    0    2    1    0    2    0    0 17.306893 0.027067 SUCCESS 142
111110110    0    0    0    0    1    0    0    0  3.901802 0.865873 SUCCESS 143
111111000    1    0    0    0    0    0    0    0  3.901802 0.865873 SUCCESS 144
111111010    1    0    2    1    0    1    0    0  8.601859 0.376987 SUCCESS 145
111111100    0    0    2    0    0    0    0    0  8.254319 0.409030 SUCCESS 146
111111110    0    0    2    0    0    0    1    0  8.370166 0.398171 SUCCESS 147

